IPO Name,Listing Date,Sector,Retail Quota (%),Issue Price Upper,Listing Price (₹),Closing Price NSE,Listing Gain (%),Listing gains on closing Basis (%),Day Change After Listing (%),QIB Day3 Subscription,HNI/NII Day3 Subscription,Retail Day3 Subscription,Day1 Subscription,Day2 Subscription,Day3 Subscription,GMP percentage D1,GMP percentage D2,GMP percentage D3,GMP percentage D4,GMP percentage D5,Peer PE,Debt/Equity,IPO PE,Latest EBIDTA,PE vs Sector Ratio,"Nifty 3D
Return (%)","Nifty 1W
Return (%)","Nifty 1M
Return (%)","Nifty During
IPO Window (%)",Market Sentiment Score,Issue Size (₹ Cr),Fresh Issue,OFS,GMP Day-1,GMP Day-2,GMP Day-3,GMP Day-4,GMP Day-5,Sentiment Source Note
Delhivery,24-May-22,Logistics/Tech,10,487,536.33,536.25,10.12936345,10.11293634,-0.016427105,1.03,1.45,1.82,0.62,0.83,1.29,4.106776181,2.05338809,1.026694045,1.026694045,1.026694045,247.47,0.2,32.86,12.68,1.27,-0.0062,-0.0268,-0.0164,0.0007,-0.32,858.7,225,633.7,20,10,5,5,5,Negative GMP pre-listing; volatile market Feb 2025; IPO Bazaar cautious; below-par subscription
Venus Pipes & Tubes,24-May-22,Steel/Pipes,10,326,354.36,354.35,8.699386503,8.696319018,-0.003067485,9.08,13.85,5.87,0.71,1.28,9.8,6.134969325,10.73619632,10.73619632,10.73619632,9.202453988,155.45,1.23,90.3,45.6,1.22,-0.029,-0.0243,0.0212,-0.0083,0.38,1600,1600,0,20,35,35,35,30,Blackstone-backed luxury hotel; Dec 2024; concern on premium valuation; institutional anchor heavy
Paradeep Phosphates,27-May-22,Fertilizers/Chemicals,35,42,43.9,43.55,4.523809524,3.69047619,-0.833333333,108.35,38.33,4.26,0.67,2.89,41.3,0,0,0,0,0,67.17,0.97,24.47,12.54,1.22,-0.0151,0.0043,0.0532,-0.003,0.38,2150,2150,0,0,0,0,0,0,* Est. Auto comp EV play; moderate social buzz; PLI beneficiary; neutral analyst view May 2025
eMudhra,1-Jun-22,IT/Digital Security,10,256,257.89,257.9,0.73828125,0.7421875,0.00390625,1.7,0.66,1.77,0.16,0.28,1.43,0,0,0,0,0,39,0.88,,-408.3,,-0.0053,0.0079,0.0366,0.0123,-0.42,2980.76,2626,354.76,0,0,0,0,0,* Est. Loss-making EV; high valuation vs Ola; Twitter: mixed/negative; YouTube avoid calls
Aether Industries,3-Jun-22,Specialty Chemicals,10,642,774.38,774.4,20.61993769,20.62305296,0.003115265,87.21,237.39,200.39,8.53,29.46,148.75,1.557632399,0.778816199,0.778816199,1.557632399,0,33,1.45,14.7,20.68,1.29,0.0113,0.0008,0.0693,-0.0053,0.78,144.89,144.89,0,10,5,5,10,0,* Est. Niche textile; small issue; positive GMP; Subscribe buzz on IPO channels
Syrma SGS Technology,26-Aug-22,Electronics/EMS,35,220,310.51,312,41.14090909,41.81818182,0.677272727,104.49,222.13,39.48,3.55,12.36,97.19,9.090909091,9.090909091,9.090909091,13.63636364,15.90909091,149,0.51,20.97,14.2,1.27,0.0076,0.0022,0.0276,-0.0099,0.88,168,168,0,20,20,20,30,35,* Est. UPS/power backup; data centre theme; strong Subscribe; small issue size creates scarcity
DreamFolks Services,6-Sep-22,Travel/Lounge Services,35,326,462.4,462.85,41.8404908,41.97852761,0.13803681,69.51,113.02,19.39,2.06,8.11,53.78,18.40490798,19.93865031,21.47239264,23.00613497,23.00613497,46.01,3.19,25.25,14.7,1.29,0.0088,0.0058,0.0239,0.0003,0.38,220,220,0,60,65,70,75,75,* Est. SS tubes for pharma/chem; infra demand; moderate neutral YT sentiment
Tamilnad Mercantile Bank,15-Sep-22,Banking,10,510,509.64,493,-0.070588235,-3.333333333,-3.262745098,3.3,0.56,0.77,0.26,0.33,2.09,4.901960784,4.901960784,4.901960784,3.921568627,2.941176471,43.25,2.59,233.46,71.19,1.27,0.0069,-0.0067,0.0284,-0.0011,0.02,2800,2800,0,25,25,25,20,15,* Est. Liquid terminal JV Aegis+Vopak; steady biz; neutral analyst view; institutional only
Harsha Engineers International,26-Sep-22,Engineering/Bearings,10,330,486.49,486.5,47.42121212,47.42424242,0.003030303,7.46,1.02,0.83,0.06,0.17,4.5,60.60606061,60.60606061,60.60606061,63.63636364,68.18181818,107.61,1.07,220.81,49.78,1.22,0.0069,-0.0067,0.0284,-0.0011,-0.02,3500,2500,1000,200,200,200,210,225,* Est. Luxury hotel Bengaluru; niche; Motilal cautious; limited retail buzz
Electronics Mart India,17-Oct-22,Retail/Electronics,35,59,84.5,86,43.22033898,45.76271186,2.542372881,88.08,36.7,3.6,0.42,1.65,34.42,50.84745763,50.84745763,59.3220339,59.3220339,59.3220339,47.33,0.42,24.22,19.79,1.23,-0.0086,0.0055,0.0126,0.0023,0.02,1387.34,890,497.34,30,30,35,35,35,* Est. Pump mfr; moderate subscription; utility sector neutral; limited YT coverage
Tracxn Technologies,20-Oct-22,SaaS/Data,10,80,93.25,95,16.5625,18.75,2.1875,1.42,3.14,5.58,0.24,1.59,2.65,0,0,0,0,0,,1.45,206.63,1.87,1.17,-0.0014,-0.01,-0.0067,-0.0024,-0.82,499.6,499.6,0,0,0,0,0,0,* Est. Const-tech; loss-making model; negative GMP; Twitter/X: strong avoid calls
DCX Systems,11-Nov-22,Defense/Aerospace,35,207,308.45,281,49.00966184,35.74879227,-13.26086957,99.76,143.14,53.71,6.97,12.94,86.03,31.40096618,31.40096618,31.40096618,33.81642512,33.81642512,38.8,1.6,17.87,13.44,1.29,0.0064,0.001,0.0147,0.0109,0.78,119,119,0,65,65,65,70,70,* Est. Infra EPC; Nifty Jul 2025 rally; strong Subscribe; QIB interest; good GMP
Fusion Micro Finance,15-Nov-22,NBFC/MFI,35,368,324.8,348,-11.73913043,-5.434782609,6.304347826,64.23,15.21,2.14,0.08,0.31,22.19,9.510869565,9.510869565,9.510869565,9.510869565,2.717391304,140.74,0.32,67.68,35.12,1.27,0.0064,0.001,0.0147,0.0109,0.82,852.53,400,452.53,35,35,35,35,10,* Est. Industrial gases; specialty chem; GMP 135; strong YT/Twitter buzz; Subscribe consensus
Bikaji Foods International,16-Nov-22,FMCG/Snacks,10,300,317.46,326,5.82,8.666666667,2.846666667,3.12,1.31,1.29,0.09,0.35,2.26,25,25,23.33333333,13.33333333,10,72.95,0.91,1340.16,312.4,1.19,0.0064,0.001,0.0147,0.0109,0.02,1590,1590,0,75,75,70,40,30,* Est. Kalpataru realty; brand but tepid; Nuvama moderate view; Jul 2025
Global Health (Medanta),16-Nov-22,Healthcare,35,336,415.3,393,23.60119048,16.96428571,-6.636904762,62.32,31.82,7.98,0.43,1.76,28.46,5.952380952,7.44047619,8.333333333,5.952380952,5.357142857,41.73,0.8,44.53,12.43,1.29,0.0101,0.0077,0.0077,0.0202,0.78,540,440,100,20,25,28,20,18,* Est. Steel tubes; infra capex; positive Jul 2025 market; Subscribe calls
Archean Chemical Industries,21-Nov-22,Specialty Chemicals,35,407,458.16,493,12.57002457,21.13022113,8.56019656,55.47,9.99,1.41,0.35,1.11,16.69,14.74201474,14.74201474,14.74201474,17.1990172,18.42751843,26.77,5.85,28.21,58.36,1.27,0.0101,0.0077,0.0077,0.0202,0.42,12500,2500,10000,60,60,60,70,75,* Est. HDFC Group NBFC; massive issue; anchor-heavy; tepid retail per analyst notes
Five-Star Business Finance,21-Nov-22,NBFC,35,474,490.02,455,3.379746835,-4.008438819,-7.388185654,33.26,48.39,14.77,0.39,0.94,25.98,0,0,0,0,0,24.76,0.67,24.16,10.09,1.22,0.0053,0.0174,0.0097,0.0156,-0.02,200,160,40,0,0,0,0,0,* Est. Agrochem; monsoon-dependent; GMP near flat; neutral analyst coverage
Kaynes Technology India,22-Nov-22,Electronics/EMS,35,587,689.96,685.22,17.54003407,16.73253833,-0.807495741,134.35,76.15,10.24,0.62,2.75,59.82,3.407155026,3.407155026,3.407155026,8.517887564,15.33219761,17.52,0,28.03,25.05,1.37,-0.0003,0.0199,0.032,-0.0053,0.78,860,0,860,20,20,20,50,90,* Est. Study-abroad consultancy; intl edu trend; YT Subscribe calls; GMP 65
Inox Green Energy Services,23-Nov-22,Renewable Energy,35,65,59.1,59.25,-9.076923077,-8.846153846,0.230769231,7.7,1.58,0.69,0.1,0.25,2.88,10.76923077,10.76923077,10.76923077,10.76923077,7.692307692,950.31,0.12,39.88,40.07,1.15,-0.0032,-0.0069,0.0342,0.0024,-0.42,2000,0,2000,7,7,7,7,5,* Est. Airport F&B; expensive valuation; GMP negative; Twitter: skip/avoid
Keystone Realtors (Rustomjee),24-Nov-22,Real Estate,35,541,556.85,547,2.929759704,1.109057301,-1.820702403,24.41,22.78,3.53,0.5,1.15,13.45,0,0,0.924214418,0.924214418,0.924214418,63.18,2.9,,62.39,1.22,0.0006,0.0009,0.0149,-0.0128,0.38,582.56,445,137.56,0,0,5,5,5,* Est. Coworking; hybrid work theme; moderate institutional; YT neutral
Dharmaj Crop Guard,8-Dec-22,Agro-Chemicals,35,237,266.29,270,12.35864979,13.92405063,1.565400844,182.65,42.35,5.64,0.73,3.29,63.86,16.87763713,29.53586498,29.53586498,25.3164557,21.09704641,71.86,0.05,70.63,36.81,1.38,-0.0146,-0.0122,0.0003,0.0018,0.82,3395,0,3395,40,70,70,60,50,* Est. CDMO pharma; PE-backed; Nuvama/Motilal: Subscribe; strong institutional demand
Uniparts India,12-Dec-22,Auto Components,35,577,539.67,550,-6.469670711,-4.679376083,1.790294627,266.21,226.45,45.31,8.99,26.93,146.9,24.26343154,20.79722704,17.33102253,13.86481802,10.39861352,,1.92,39.14,8.94,1.33,-0.002,-0.0054,-0.0021,0,0.82,460.44,400,60.44,140,120,100,80,60,* Est. Circular economy electronics; GMP 98; YT buzz strong; Twitter: Subscribe
Sula Vineyards,22-Dec-22,Beverages/Wine,10,357,331.19,362,-7.229691877,1.400560224,8.630252101,14.35,8.24,12.55,0.87,2.54,12.33,9.803921569,9.803921569,9.803921569,7.00280112,7.00280112,66.66,1.18,,62.32,1.22,-0.002,-0.0054,-0.0021,0,-0.42,700,650,50,35,35,35,25,25,* Est. Co-working; negative GMP; WeWork India concern; YT cautious/avoid
Landmark Cars,23-Dec-22,Auto Dealership,10,506,458.39,486,-9.409090909,-3.95256917,5.456521739,5.42,1.92,6.4,0.69,1.31,4.48,8.893280632,8.893280632,6.916996047,6.324110672,3.95256917,44.13,7.4,146.59,35.45,1.22,0.0101,0.0003,0.0099,-0.0152,-0.38,759.6,759.6,0,45,45,35,32,20,* Est. Brigade hotels; cyclical; negative GMP; institutional play; limited retail enthusiasm
Abans Holdings,23-Dec-22,Financial Services,35,270,216.05,258,-19.98148148,-4.444444444,15.53703704,117.33,151.18,29.77,1.16,4.93,80.8,6.296296296,6.296296296,4.444444444,5.555555556,1.851851852,16.89,1.6,25.69,8.83,1.17,-0.0011,-0.002,0.0007,-0.0152,0.42,360.11,360.11,0,17,17,12,15,5,* Est. Gold jewellery; gold bull Aug 2025; GMP 32; decent retail; moderate buzz
KFin Technologies,29-Dec-22,Financial Services/Fintech,35,366,363.84,371,-0.590163934,1.366120219,1.956284153,1.3,1.83,2.19,0.37,0.88,1.85,0,0,0,,1.366120219,18.8,4.02,22.93,52.3,1.17,-0.0214,-0.0163,-0.034,0.0071,-0.82,254.26,165.16,89.09,0,0,0,5,5,* Est. Small NBFC; negative GMP; high NPA risk; YT/Twitter: strong avoid
Elin Electronics,30-Dec-22,Electronics/EMS,10,247,227.66,220,-7.829959514,-10.93117409,-3.101214575,133.21,72,50.87,2.05,6.88,100.69,20.24291498,20.24291498,18.21862348,18.21862348,2.024291498,,0.41,22.52,8.27,1.57,-0.0214,-0.0163,-0.034,0.0071,0.88,1300,500,800,50,50,45,45,5,* Est. CCTV/AI surveillance dist; GMP 412; AI-security theme; massive YT/Twitter buzz
