IPO Name,Listing Date,Sector,Retail Quota (%),Issue Price Upper,Listing Price (₹),Closing Price NSE,Listing Gain (%),Listing gains on closing Basis (%),Day Change After Listing (%),QIB Day3 Subscription,HNI/NII Day3 Subscription,Retail Day3 Subscription,Day1 Subscription,Day2 Subscription,Day3 Subscription,GMP percentage D1,GMP percentage D2,GMP percentage D3,GMP percentage D4,GMP percentage D5,Peer PE,Debt/Equity,IPO PE,Latest EBIDTA,PE vs Sector Ratio,"Nifty 3D
Return (%)","Nifty 1W
Return (%)","Nifty 1M
Return (%)","Nifty During
IPO Window (%)",Market Sentiment Score,Issue Size (₹ Cr),Fresh Issue,OFS,GMP Day-1,GMP Day-2,GMP Day-3,GMP Day-4,GMP Day-5,Sentiment Source Note
GPT Healthcare,29-Feb-24,Healthcare/Diagnostics,10,186,215.0,200.7,15.591398,7.903226,-7.688172,17.3,11.02,2.44,0.37,0.85,8.52,8.064516,8.064516,8.064516,5.376344,8.064516,36.2,1.63,10.17,4.21,0.280939226519337,-1.43,-0.71,-0.01,1.04,-0.32,525.14,40.0,485.14,120,125,120,120,110,Negative GMP pre-listing; volatile market Feb 2025; IPO Bazaar cautious; below-par subscription
Juniper Hotels,28-Feb-24,Luxury Hotels,10,360,365.0,401.5,1.388889,11.527778,10.0,2.96,0.86,1.1,0.37,0.85,2.07,4.166667,4.166667,2.777778,4.166667,4.166667,49.81,0.39,38.11,21.83,0.7651074081509737,0.07,0.98,2.0,0.71,0.38,1800.0,1800.0,0.0,15,15,15,15,10,Blackstone-backed luxury hotel; Dec 2024; concern on premium valuation; institutional anchor heavy
Entero Healthcare,16-Feb-24,Pharma Distribution,10,1258,1250.96,1149.5,-0.5596,-8.6248,-8.1106,2.28,0.22,1.33,0.11,0.23,1.53,0.397456,0.397456,0.397456,0.63593,0.794913,68.52,0.86,42.0,44.94,0.6129597197898424,1.31,2.09,3.42,0.09,0.38,1600.0,1000.0,600.0,10,10,8,5,5,* Est. Auto comp EV play; moderate social buzz; PLI beneficiary; neutral analyst view May 2025
Bharat Highways InvIT,12-Mar-24,Infrastructure/InvIT,35,100,101.1,103.05,1.1,3.05,1.95,8.92,6.93,0.0,10.02,27.78,6.74,2.0,2.0,1.0,1.0,0.0,117.03,0.41,42.01,7.41,0.3589677860377681,-0.09,0.01,3.96,-0.97,-0.42,2500.0,2500.0,0.0,95,120,150,180,170,* Est. Loss-making EV; high valuation vs Ola; Twitter: mixed/negative; YouTube avoid calls
Mukka Proteins,07-Mar-24,Specialty Proteins/Marine,35,28,42.25,42.25,50.89285714285715,50.89285714285715,0.0,189.28,250.38,58.52,8.06,22.22,136.99,321.428571,339.285714,321.428571,339.285714,339.285714,21.56,0.28,18.15,23.27,0.8418367346938775,-0.09,0.01,3.96,-0.97,0.78,224.0,224.0,0.0,42,80,93,95,95,* Est. Niche textile; small issue; positive GMP; Subscribe buzz on IPO channels
Exicom Tele-Systems,05-Mar-24,EV Charging/Telecom Infra,35,142,202.61,224.95,42.683099,58.415493,15.732394,121.8,153.22,119.59,2.47,7.01,129.54,21.126761,21.126761,17.605634,17.605634,17.605634,35.0,1.64,52.0,8.01,1.4857142857142858,-0.63,-1.06,2.14,1.8,0.88,429.0,329.0,100.0,15,17,17,25,25,* Est. UPS/power backup; data centre theme; strong Subscribe; small issue size creates scarcity
Platinum Industries,05-Mar-24,Specialty Chemicals,35,171,225.0,221.2,31.578947,29.356725,-2.222222,151.0,141.83,50.99,8.06,22.22,98.99,14.619883,24.561404,46.783626,54.385965,55.555556,38.5,0.15,31.5,17.08,0.8181818181818182,1.95,1.16,3.14,-0.1,0.38,235.32,235.32,0.0,0,0,0,0,0,* Est. SS tubes for pharma/chem; infra demand; moderate neutral YT sentiment
JG Chemicals,13-Mar-24,Specialty Chemicals/Zinc Oxide,35,221,250.0,262.6,13.12217194570136,18.82352941176471,5.701357466063357,20.58,34.24,33.3,2.19,6.38,25.78,11.312217,22.624434,33.936652,22.624434,29.411765,55.09,0.76,40.97,20.97,0.7436921401343256,1.95,1.16,3.14,-0.1,0.02,423.56,173.0,250.56,50,50,50,75,50,* Est. Liquid terminal JV Aegis+Vopak; steady biz; neutral analyst view; institutional only
R K SWAMY,12-Mar-24,Advertising/Marketing,10,288,263.0,262.6,-8.680556,-8.819444,-0.138888,32.09,46.32,17.42,2.68,6.59,27.77,2.430556,5.208333,7.986111,7.986111,12.152778,45.0,0.34,38.0,10.85,0.8444444444444444,1.92,0.93,2.52,0.31,-0.02,251.19,86.19,165.0,65,60,55,50,35,* Est. Luxury hotel Bengaluru; niche; Motilal cautious; limited retail buzz
Gopal Snacks,14-Mar-24,FMCG/Snacks,10,401,351.0,362.7,-12.468828,-9.551122,2.917706,17.5,9.5,4.01,0.6,1.4,9.02,3.740648,5.236908,5.735661,6.234414,5.735661,100.73,0.37,44.46,14.07,0.4413779410304775,0.08,1.85,2.69,0.61,0.02,650.0,0.0,650.0,135,120,80,50,21,* Est. Pump mfr; moderate subscription; utility sector neutral; limited YT coverage
Krystal Integrated Services,21-Mar-24,Facility Management/Services,35,715,785.0,712.85,9.79021,-0.300699,-10.090909,7.33,43.91,3.32,0.27,0.45,13.21,0.699301,3.496503,3.916084,4.195804,4.195804,36.41,1.47,28.86,4.8,0.7926393847844,-0.11,-0.2,2.83,-1.5,-0.82,300.12,175.0,125.13,30,28,25,5,0,* Est. Const-tech; loss-making model; negative GMP; Twitter/X: strong avoid calls
Popular Vehicles,19-Mar-24,Auto Dealership,35,295,289.2,276.15,-1.966102,-6.389831,-4.423729,7.33,43.9,3.31,0.36,0.7,13.21,13.559322,20.338983,16.949153,13.559322,13.559322,24.3,0.31,21.45,7.7,0.882716049382716,-2.2,-1.6,1.77,0.12,0.78,300.12,175.0,125.12,85,70,40,40,50,* Est. Infra EPC; Nifty Jul 2025 rally; strong Subscribe; QIB interest; good GMP
SRM Contractors,03-Apr-24,Construction/Infra EPC,35,210,215.25,226.0,30.952381,7.619048,-23.333333,59.59,214.94,46.97,3.56,17.42,86.57,55.714286,57.142857,55.714286,52.380952,47.619048,24.15,0.75,17.15,12.87,0.7101449275362318,1.28,0.33,0.19,0.12,0.82,130.2,0.0,130.2,45,55,55,75,100,* Est. Industrial gases; specialty chem; GMP 135; strong YT/Twitter buzz; Subscribe consensus
Bharti Hexacom,12-Apr-24,Telecom,10,570,755.0,813.3,32.45614035087719,42.68421052631578,10.22807017543859,48.57,10.52,2.83,0.34,1.45,29.88,16.315789,16.140351,14.912281,13.157895,11.403509,25.0,1.48,32.0,43.9,1.28,0.48,1.95,2.06,0.35,0.02,4275.0,4275.0,0.0,37,40,43,50,55,* Est. Kalpataru realty; brand but tepid; Nuvama moderate view; Jul 2025
Vodafone Idea FPO,25-Apr-24,Telecom,35,11,11.8,13.9,7.27272727272728,26.36363636363637,19.09090909090909,17.56,4.54,1.01,0.13,1.8,6.36,4.545455,4.545455,9.090909,9.090909,9.090909,76.56,0.57,34.405,17.08,0.44938610240334376,-2.32,-2.32,0.06,2.77,0.78,18000.0,18000.0,0.0,0,0,0,0,0,* Est. Steel tubes; infra capex; positive Jul 2025 market; Subscribe calls
JNK India,30-Apr-24,Process Equipment/Oil & Gas,35,415,621.0,694.55,49.63855421686747,67.36144578313252,17.72289156626506,75.72,23.18,3.96,0.49,1.03,28.04,25.301205,22.891566,15.662651,6.024096,6.024096,112.9,0.36,43.64,18.05,0.3865367581930912,0.85,-0.81,1.42,0.3,0.42,649.47,300.0,349.47,20,20,20,25,25,* Est. HDFC Group NBFC; massive issue; anchor-heavy; tepid retail per analyst notes
Aadhar Housing Finance,15-May-24,Affordable Housing Finance,10,315,344.99,329.45,9.520635,4.587302,-4.933333,197.55,54.63,7.58,1.67,7.35,69.63,85.714286,85.714286,87.301587,79.365079,79.365079,28.0,0.02,33.0,19.69,1.1785714285714286,-0.74,-0.42,0.67,-0.77,-0.02,3000.0,1000.0,2000.0,230,230,250,250,250,* Est. Agrochem; monsoon-dependent; GMP near flat; neutral analyst coverage
TBO Tek,15-May-24,Travel Tech/B2B,10,920,1426.0,1406.3,54.5904,33.0464,-21.544,72.78,16.5,2.45,0.44,1.48,25.49,5.203406,6.622517,6.433302,6.14948,6.622517,33.9,3.3,18.39,75.2,0.5424778761061947,-1.53,-1.51,-0.67,-1.55,0.78,1550.81,400.0,1150.81,60,70,70,70,65,* Est. Study-abroad consultancy; intl edu trend; YT Subscribe calls; GMP 65
Indegene,13-May-24,Digital Pharma Services,10,452,622.0,570.0,37.61061946902655,26.10619469026549,-11.50442477876106,125.51,50.36,24.5,1.15,4.15,86.4,59.734513,112.831858,112.831858,111.725664,115.044248,113.31,0.12,48.56,17.08,0.42855882093372166,-1.53,-1.51,-0.67,-1.55,-0.42,1841.76,1150.81,690.95,460,500,485,520,505,* Est. Airport F&B; expensive valuation; GMP negative; Twitter: skip/avoid
Go Digit General Insurance,23-May-24,General Insurance,10,272,286.0,306.0,5.147058823529412,12.5,7.3529,12.56,7.23,4.26,0.36,0.79,9.6,9.191176,9.191176,5.514706,3.676471,3.676471,46.8,0.57,145.02,0.7,3.0987179487179493,0.66,-0.46,-2.43,1.2,0.38,2614.65,1125.0,1489.65,55,43,43,20,10,* Est. Coworking; hybrid work theme; moderate institutional; YT neutral
Awfis Space Solutions,30-May-24,Coworking/Flexible Offices,10,383,435.0,421.75,13.57702349869452,10.11749347258486,-3.459530026109661,116.95,129.26,53.14,2.03,11.41,108.15,31.331593,31.331593,28.720627,26.109661,26.109661,60.0,0.06,34.405,31.12,0.5734166666666667,0.59,1.79,2.04,1.59,0.82,598.93,128.0,470.93,75,125,140,120,110,* Est. CDMO pharma; PE-backed; Nuvama/Motilal: Subscribe; strong institutional demand
Kronox Lab Sciences,10-Jun-24,Specialty Chemicals/Lab,35,136,164.95,159.32,21.28676470588235,17.14705882352941,-4.139705882352942,89.03,301.92,54.23,11.1,24.59,117.25,27.941176,29.411765,29.411765,29.411765,58.823529,70.88,0.0,24.46,23.01,0.34509029345372466,-1.56,-1.86,-0.33,-2.87,0.82,130.15,0.0,130.15,70,80,80,80,40,* Est. Circular economy electronics; GMP 98; YT buzz strong; Twitter: Subscribe
Le Travenues Technology (ixigo),18-Jun-24,Travel Tech/OTA,10,93,138.1,165.72,48.49462365591397,78.19354838709677,29.6989247311828,106.73,110.25,53.95,1.95,9.33,98.1,32.258065,34.408602,35.483871,37.634409,27.956989,106.01,7.81,53.54,8.99,0.5050466937081407,6.42,3.37,4.43,-0.11,-0.42,740.1,120.0,620.1,28,28,25,25,25,* Est. Co-working; negative GMP; WeWork India concern; YT cautious/avoid
DEE Development Engineers,26-Jun-24,Engineering/Piping Systems,35,325,377.75,335.32,16.2308,3.1754,-13.0554,201.91,144.0,23.42,2.51,9.0,99.56,27.692308,27.692308,27.692308,28.615385,27.692308,20.0,0.45,30.5,11.62,1.525,1.01,1.28,5.15,0.04,-0.38,418.01,325.0,93.01,50,50,80,90,93,* Est. Brigade hotels; cyclical; negative GMP; institutional play; limited retail enthusiasm
Akme Fintrade,26-Jun-24,NBFC/Rural Finance,35,120,127.0,133.35,5.833333333333333,11.125,5.291666666666663,28.12,130.33,45.78,3.01,11.63,55.12,20.833333,27.5,38.333333,38.333333,35.0,18.34,4.42,31.37,69.45,1.7104689203925847,1.01,1.28,5.15,0.04,0.42,132.0,132.0,0.0,29,32,34,42,46,* Est. Gold jewellery; gold bull Aug 2025; GMP 32; decent retail; moderate buzz
Stanley Lifestyles,28-Jun-24,Luxury Furniture,10,369,494.95,474.75,34.13279132791327,28.65853658536586,-5.474254742547419,222.1,118.6,18.09,1.44,5.22,96.21,43.360434,46.070461,44.715447,46.070461,43.360434,55.0,0.68,46.0,19.74,0.8363636363636363,0.43,1.05,4.73,-0.12,-0.82,537.02,200.0,337.02,125,140,161,160,165,* Est. Small NBFC; negative GMP; high NPA risk; YT/Twitter: strong avoid
Allied Blenders and Distillers,02-Jul-24,IMFL/Spirits,10,281,320.0,317.9,13.87900355871886,13.13167259786476,-0.7473309608541001,50.37,32.35,4.42,0.51,1.52,23.49,16.014235,21.352313,23.131673,28.469751,30.24911,38.0,1.85,42.5,6.23,1.118421052631579,0.09,0.31,4.16,1.41,0.88,1500.0,1000.0,500.0,57,75,80,85,80,* Est. CCTV/AI surveillance dist; GMP 412; AI-security theme; massive YT/Twitter buzz
Vraj Iron and Steel,03-Jul-24,Steel/Iron,35,207,240.0,252.0,15.94202898550725,21.73913043478261,5.797101449275363,163.9,208.8,54.89,3.47,16.93,119.02,33.816425,36.231884,36.231884,38.647343,33.816425,9.97,0.17,11.49,15.77,1.152457372116349,0.65,0.69,3.28,1.36,0.42,171.0,171.0,0.0,37,50,60,70,80,* Est. Eng components; moderate positive; infra demand; neutral-positive YT
Emcure Pharmaceuticals,10-Jul-24,Pharmaceuticals,10,1008,1325.05,1359.15,31.45337301587301,34.83630952380953,3.38293650793652,195.83,48.28,7.17,1.32,4.98,67.84,35.714286,36.210317,35.218254,31.746032,30.753968,40.41,0.67,38.26,19.01,0.9467953476862163,0.33,1.7,7.27,0.74,0.78,1952.03,1152.03,800.0,260,275,282,310,320,* Est. RE developer Hyderabad; GMP 46; positive 2025 RE sentiment; Subscribe calls
Bansal Wire Industries,10-Jul-24,Steel Wire/Cable,35,256,356.0,350.35,39.0625,36.85546875000001,-2.207031249999993,146.05,51.46,13.63,1.76,5.73,59.57,28.125,27.34375,25.390625,23.4375,24.21875,32.71,1.48,50.88,6.04,1.5554876184653013,0.33,1.7,7.27,0.74,0.82,745.0,745.0,0.0,70,70,65,62,60,* Est. Market infra/FMI; premium brand; GMP 88; Pranjal Kamra/Rachana: Subscribe
Sanstar,26-Jul-24,Starch/Glucose/Specialty,35,95,109.0,115.07,14.73684210526316,21.12631578947368,6.389473684210518,145.68,136.47,24.19,4.23,13.48,82.96,34.736842,31.578947,31.578947,36.842105,36.842105,20.68,0.5,25.93,9.2,1.2538684719535784,1.22,1.96,5.69,-1.18,0.82,510.15,397.1,113.05,40,40,40,35,30,* Est. Highway EPC; GMP 52; NHI capex theme; massive expected retail excitement
Akums Drugs and Pharmaceuticals,06-Aug-24,CDMO/Pharma,10,679,725.0,796.25,6.774668630338733,17.2680412371134,10.49337260677467,90.09,42.08,20.58,1.37,4.43,63.39,14.727541,19.145803,22.091311,26.509573,28.424153,32.0,0.69,38.5,3.73,1.203125,1.73,1.33,4.05,0.46,-0.02,1856.74,680.0,1176.74,175,180,193,193,180,* Est. JSW brand; GMP flat; infra demand moderate; large issue dilutes excitement
Ceigall India,08-Aug-24,Roads/Highway EPC,10,401,419.0,386.75,4.488778054862843,-3.553615960099751,-8.042394014962593,31.5,14.39,3.7,0.61,1.23,13.74,5.236908,6.234414,13.715711,17.456359,19.950125,18.34,1.17,22.95,17.09,1.2513631406761176,0.47,2.2,3.92,-0.94,0.02,1252.66,684.25,568.41,82,85,85,80,55,* Est. Plastic products; GMP 10; commodity neutral; moderate subscription expected
Ola Electric Mobility,09-Aug-24,EV Two-Wheelers,10,76,76.0,91.2,0.0,20.0,20.0,5.31,2.39,3.86,0.35,1.06,4.26,6.578947,11.842105,14.473684,19.736842,19.736842,38.0,2.01,34.405,-19.84,0.9053947368421053,0.7,2.48,3.6,-3.82,0.38,6145.56,5500.0,645.56,15,16,15,11,5,* Est. D2C jewellery; loss-making startup; Tata Nexarc; GMP 30; mixed YT views
Unicommerce eSolutions,13-Aug-24,SaaS/E-commerce Tech,10,108,235.0,210.08,117.5925925925926,94.51851851851853,-23.07407407407406,138.75,252.43,130.82,2.43,12.23,168.31,55.555556,50.925926,43.518519,32.407407,23.148148,70.0,0.0,85.0,13.92,1.2142857142857142,-3.59,-3.14,-0.95,1.01,0.78,276.57,276.57,0.0,27,27,28,25,35,* Est. Mining/resources; GMP 30; commodity up-cycle; positive YT buzz
Brainbees Solutions (FirstCry),13-Aug-24,Baby Products/E-commerce,10,465,651.0,679.1,40.0,46.04301075268818,6.043010752688183,19.3,4.67,2.3,0.11,0.3,12.21,13.333333,10.752688,8.172043,6.88172,10.752688,38.0,-0.07,34.405,1.09,0.9053947368421053,-3.59,-3.14,-0.95,1.01,0.42,4193.73,1666.0,2527.73,98,87,60,50,32,* Est. Solar modules; GMP 26; renewable energy theme; moderate institutional interest
Saraswati Saree Depot,20-Aug-24,Textiles/Sarees,35,160,194.0,203.7,21.25,27.31249999999999,6.062499999999993,64.12,358.45,61.56,4.37,16.34,107.38,31.25,40.625,43.75,31.25,20.0,46.57,0.67,21.46,6.73,0.4608116813399184,1.56,-1.42,-0.27,-0.94,-0.02,160.01,104.0,56.02,30,30,32,50,70,* Est. Aroma chem; GMP negative; niche; limited YT coverage; neutral
Orient Technologies,28-Aug-24,IT Infrastructure/Services,35,206,288.0,302.4,39.80582524271845,46.79611650485436,6.990291262135912,189.9,300.6,66.87,6.65,16.96,151.71,38.834951,38.834951,33.980583,30.097087,24.271845,29.89,0.03,20.67,9.39,0.6915356306457009,2.3,1.45,-0.41,0.46,0.02,214.76,120.0,94.76,45,45,35,50,62,* Est. Logistics; GMP 4; shipping neutral; small issue
Premier Energies,03-Sep-24,Solar Energy/Manufacturing,10,450,990.0,839.9,120.0,86.64444444444445,-33.35555555555555,216.67,50.04,7.69,2.1,6.61,74.38,91.111111,91.111111,88.888889,84.444444,83.333333,42.0,2.18,48.0,15.93,1.1428571428571428,0.97,1.78,2.45,0.17,0.42,2830.4,1539.0,1291.4,265,310,320,375,380,* Est. Retail chain; GMP 34; moderate retail interest
ECOS India Mobility,04-Sep-24,Corporate Mobility/Chauffeur,35,334,390.0,443.15,16.76646706586826,32.67964071856287,15.91317365269461,136.85,71.23,19.79,3.36,9.56,64.26,44.91018,44.91018,44.91018,47.904192,47.904192,22.27,0.12,32.05,16.23,1.4391558149977548,0.83,1.29,2.51,0.54,-0.42,601.2,601.2,0.0,118,140,160,160,150,* Est. Electrical equip; negative GMP; tepid buzz; limited YT/social presence
Baazar Style Retail,06-Sep-24,Value Retail,10,389,389.0,400.0,0.0,2.827763496143959,2.827763496143959,81.83,59.4,9.04,0.72,4.64,40.62,15.938303,14.138817,17.994859,25.706941,32.133676,156.85,0.76,156.85,14.61,1.0,0.57,1.37,1.27,0.5,-0.02,834.67,148.0,686.67,135,130,130,125,70,* Est. Engineering mfg; GMP flat; neutral sentiment Sep 2025
Gala Precision Engineering,09-Sep-24,Precision Engineering/Springs,35,529,721.1,757.15,36.31379962192818,43.12854442344045,6.814744801512269,232.54,414.62,91.95,10.84,52.21,201.41,47.258979,51.039698,47.258979,43.478261,47.258979,38.34,0.51,27.2,19.86,0.7094418362023995,0.87,1.66,1.52,0.17,0.02,167.93,135.34,32.59,225,225,240,250,230,* Est. Healthcare services; GMP minimal; moderate interest; valuation fair
Shree Tirupati Balajee,12-Sep-24,Agro/FIBC Bags,35,83,94.5,94.5,13.855422,13.855422,0.0,149.21,330.34,73.22,6.36,17.58,124.74,24.096386,31.325301,33.73494,30.120482,26.506024,22.0,0.45,28.5,75.0,1.2954545454545454,-0.36,-0.36,2.72,0.92,0.42,169.65,122.43,47.23,10,7,15,25,35,* Est. Pharma; GMP 16; moderate positive buzz; specialty segments
Bajaj Housing Finance,16-Sep-24,Housing Finance,10,70,165.0,165.0,135.7143,135.7142857142857,21.42857142857143,209.36,41.41,6.9,2.02,7.51,67.43,100.0,100.0,100.0,90.0,85.714286,18.0,5.7,33.67,90.5,1.8705555555555557,-1.69,-1.52,3.58,0.76,0.82,6560.0,3000.0,3560.0,50,50,55,60,63,* Est. Services platform; GMP 64; Sequoia/Tiger backed; strong brand YT/Twitter buzz
Kross,16-Sep-24,Auto Components/Trailer,35,240,240.0,259.81,0.0,8.254166666666668,8.254166666666668,23.32,22.12,10.19,0.88,2.56,16.5,12.5,16.666667,20.833333,20.833333,20.833333,24.85,0.8,34.48,13.02,1.3875251509054325,-1.69,-1.52,3.58,0.76,0.42,500.0,250.0,250.0,50,50,50,50,50,* Est. Gold jewellery; GMP 20; gold bull run; decent retail interest
Tolins Tyres,16-Sep-24,Specialty Tyres/Rubber,35,226,228.0,239.4,0.8849557522123894,5.929203539823011,5.044247787610621,25.42,27.3,20.66,1.8,5.22,23.45,13.274336,13.274336,17.699115,17.699115,15.486726,34.17,0.78,34.33,20.41,1.0046824700029264,-1.69,-1.52,3.58,0.76,0.42,230.0,200.0,30.0,25,25,30,35,40,* Est. Digital services; GMP 3; moderate buzz; startup ecosystem
P N Gadgil Jewellers,17-Sep-24,Gold Jewellery,35,480,793.3,793.3,65.270833,65.270833,0.0,136.85,56.08,16.58,1.43,7.5,59.41,41.666667,47.916667,52.083333,58.333333,62.5,38.0,0.57,42.2,330.0,1.1105263157894738,0.97,0.44,4.2,-0.02,0.02,1100.0,850.0,250.0,175,200,225,240,250,* Est. Specialty retail; small issue; limited YT/Twitter coverage
Northern Arc Capital,24-Sep-24,NBFC/Impact Finance,35,263,350.0,323.4,33.07984790874525,22.9657794676806,-10.11406844106465,240.79,142.41,31.08,2.87,20.18,110.91,60.836502,62.737643,62.737643,68.441065,76.045627,23.24,3.9,13.35,61.56,0.5744406196213425,1.87,1.79,5.14,-0.02,0.02,777.0,500.0,277.0,150,150,150,165,180,* Est. Steel TMT; GMP flat; small issue; tepid response
Arkade Developers,24-Sep-24,Real Estate,35,128,175.0,165.86,36.71875,29.57812500000001,-7.140624999999989,163.16,163.02,51.39,5.8,29.36,106.83,50.78125,54.6875,58.59375,62.5,62.5,76.44,0.21,19.34,26.68,0.25300889586603875,1.87,1.79,5.14,-0.02,-0.42,410.0,410.0,0.0,60,60,60,50,50,* Est. IT distribution; negative GMP; tepid QIB; YT cautious
Western Carriers India,24-Sep-24,Logistics/Rail,35,172,171.0,159.44,-0.5813953488372093,-7.30232558139535,-6.720930232558141,27.99,44.71,25.95,0.79,13.89,30.57,11.627907,17.44186,17.44186,23.255814,36.046512,40.1,0.67,21.83,9.01,0.5443890274314214,1.87,1.79,5.14,-0.02,0.42,492.88,400.0,92.88,50,50,50,50,40,* Est. Energy/power; GMP 15; decent retail; power sector tailwinds
KRN Heat Exchanger,03-Oct-24,Heat Exchangers/Industrial,35,220,478.79,478.79,117.631818,117.631818,0.0,148.55,506.16,129.95,23.79,73.21,215.88,22.727273,27.272727,27.272727,27.272727,27.272727,13.45,3.75,19.21,65.38,1.4282527881040894,1.47,1.71,4.12,0.58,-0.42,341.95,341.95,0.0,40,40,50,60,60,* Est. Solar; negative GMP; capex/margin concern; YT mixed
