IPO Name,Listing Date,Sector,Retail Quota (%),Issue Price Upper,Listing Price (₹),Closing Price NSE,Listing Gain (%),Listing gains on closing Basis (%),Day Change After Listing (%),QIB Day3 Subscription,HNI/NII Day3 Subscription,Retail Day3 Subscription,Day1 Subscription,Day2 Subscription,Day3 Subscription,GMP percentage D1,GMP percentage D2,GMP percentage D3,GMP percentage D4,GMP percentage D5,Peer PE,Debt/Equity,IPO PE,Latest EBIDTA,PE vs Sector Ratio,"Nifty 3D
Return (%)","Nifty 1W
Return (%)","Nifty 1M
Return (%)","Nifty During
IPO Window (%)",Market Sentiment Score,Issue Size (₹ Cr),Fresh Issue,OFS,GMP Day-1,GMP Day-2,GMP Day-3,GMP Day-4,GMP Day-5,Sentiment Source Note
Quality Power Electrical,24-Feb-25,Power/Electrical,10,425,432,387.9,1.6470588235294117,-8.729411764705887,-10.376470588235298,1.03,1.45,1.82,0.62,0.83,1.29,7.529411764705882,7.764705882352941,6.588235294117647,4.705882352941177,1.6470588235294117,247.47,0.2,32.86,12.68,1.27,-0.0062,-0.0268,-0.0164,0.0007000000000000001,-0.32,858.7,225.0,633.7,32,33,28,20,7,Negative GMP pre-listing; volatile market Feb 2025; IPO Bazaar cautious; below-par subscription
Ventive Hospitality,30-Dec-24,Hospitality,10,643,716,704.35,11.35303265940902,9.54121306376361,-1.8118195956454102,9.08,13.85,5.87,0.71,1.28,9.8,8.553654743390357,8.553654743390357,8.553654743390357,7.776049766718507,6.998444790046657,155.45,1.23,90.3,45.6,1.22,-0.029,-0.0243,0.0212,-0.0083,0.38,1600.0,1600.0,0.0,55,55,55,50,45,Blackstone-backed luxury hotel; Dec 2024; concern on premium valuation; institutional anchor heavy
Belrise Industries,28-May-25,Auto Components,35,90,90,97.41,0.0,8.233333333333329,8.233333333333329,108.35,38.33,4.26,0.67,2.89,41.3,11.11111111111111,8.88888888888889,12.222222222222221,16.666666666666668,24.444444444444443,67.17,0.97,24.47,12.54,1.22,-0.0151,0.0043,0.0532,-0.003,0.38,2150.0,2150.0,0.0,10,8,11,15,22,* Est. Auto comp EV play; moderate social buzz; PLI beneficiary; neutral analyst view May 2025
Ather Energy,06-May-25,EV/Auto,10,321,328,302.3,2.1806853582554515,-5.82554517133956,-8.006230529595012,1.7,0.66,1.77,0.16,0.28,1.43,1.557632398753894,1.557632398753894,1.557632398753894,0.9345794392523364,0.9345794392523364,39.0,0.88,,-408.3,,-0.0053,0.0079,0.0366,0.0123,-0.42,2980.76,2626.0,354.76,5,5,5,3,3,* Est. Loss-making EV; high valuation vs Ola; Twitter: mixed/negative; YouTube avoid calls
Borana Weaves,27-May-25,Textiles,10,216,243,255.15,12.5,18.125000000000004,5.6250000000000036,87.21,237.39,200.39,8.53,29.46,148.75,30.09259259259259,28.703703703703702,25.925925925925927,26.85185185185185,26.85185185185185,33.0,1.45,14.7,20.68,1.29,0.0113,0.0008,0.0693,-0.0053,0.78,144.89,144.89,0.0,65,62,56,58,58,* Est. Niche textile; small issue; positive GMP; Subscribe buzz on IPO channels
Prostarm Info Systems,03-Jun-25,IT/Power Solutions,35,105,120,126.0,14.285714285714286,20.0,5.7142857142857135,104.49,222.13,39.48,3.55,12.36,97.19,22.857142857142858,22.857142857142858,22.857142857142858,22.857142857142858,20.952380952380953,149.0,0.51,20.97,14.2,1.27,0.0076,0.0022,0.0276,-0.009899999999999999,0.88,168.0,168.0,0.0,24,24,24,24,22,* Est. UPS/power backup; data centre theme; strong Subscribe; small issue size creates scarcity
Scoda Tubes,04-Jun-25,Steel/Tubes,35,140,140,147.0,0.0,5.0,5.0,69.51,113.02,19.39,2.06,8.11,53.78,10.714285714285714,15.0,15.0,15.0,15.714285714285714,46.01,3.19,25.25,14.7,1.29,0.0088,0.0058,0.0239,0.0003,0.38,220.0,220.0,0.0,15,21,21,21,22,* Est. SS tubes for pharma/chem; infra demand; moderate neutral YT sentiment
Aegis Vopak Terminals,02-Jun-25,Logistics/Terminals,10,235,220,242.0,-6.382978723404255,2.978723404255319,9.361702127659575,3.3,0.56,0.77,0.26,0.33,2.09,6.382978723404255,6.382978723404255,6.382978723404255,5.531914893617022,3.404255319148936,43.25,2.59,233.46,71.19,1.27,0.0069,-0.0067,0.0284,-0.0011,0.02,2800.0,2800.0,0.0,15,15,15,13,8,* Est. Liquid terminal JV Aegis+Vopak; steady biz; neutral analyst view; institutional only
Schloss Bangalore,02-Jun-25,Hospitality/Hotels,10,435,406,435.55,-6.666666666666667,0.12643678160919802,6.793103448275865,7.46,1.02,0.83,0.06,0.17,4.5,4.597701149425287,4.597701149425287,4.137931034482759,3.4482758620689653,1.1494252873563218,107.61,1.07,220.81,49.78,1.22,0.0069,-0.0067,0.0284,-0.0011,-0.02,3500.0,2500.0,1000.0,20,20,18,15,5,* Est. Luxury hotel Bengaluru; niche; Motilal cautious; limited retail buzz
Oswal Pumps,20-Jun-25,Industrial/Pumps,35,614,634,625.35,3.257328990228013,1.848534201954401,-1.408794788273612,88.08,36.7,3.6,0.42,1.65,34.42,10.912052117263844,12.214983713355048,12.214983713355048,10.586319218241043,8.306188925081432,47.33,0.42,24.22,19.79,1.23,-0.0086,0.005500000000000001,0.0126,0.0023,0.02,1387.34,890.0,497.34,67,75,75,65,51,* Est. Pump mfr; moderate subscription; utility sector neutral; limited YT coverage
ArisInfra Solutions,25-Jun-25,Infra/Tech,10,222,205,174.38,-7.657657657657658,-21.45045045045045,-13.792792792792792,1.42,3.14,5.58,0.24,1.59,2.65,12.162162162162161,12.162162162162161,12.162162162162161,12.162162162162161,10.81081081081081,,1.45,206.63,1.87,1.17,-0.0014,-0.01,-0.0067,-0.0024,-0.82,499.6,499.6,0.0,27,27,27,27,24,* Est. Const-tech; loss-making model; negative GMP; Twitter/X: strong avoid calls
Globe Civil Projects,01-Jul-25,Infrastructure,35,71,90,94.46,26.760563380281692,33.04225352112675,6.281690140845061,99.76,143.14,53.71,6.97,12.94,86.03,21.12676056338028,18.309859154929576,25.35211267605634,28.169014084507044,28.169014084507044,38.8,1.6,17.87,13.44,1.29,0.0064,0.001,0.0147,0.0109,0.78,119.0,119.0,0.0,15,13,18,20,20,* Est. Infra EPC; Nifty Jul 2025 rally; strong Subscribe; QIB interest; good GMP
Ellenbarrie Industrial,01-Jul-25,Industrial/FMCG,35,400,486,534.6,21.5,33.650000000000006,12.150000000000006,64.23,15.21,2.14,0.08,0.31,22.19,2.75,2.75,2.0,3.0,4.5,140.74,0.32,67.68,35.12,1.27,0.0064,0.001,0.0147,0.0109,0.82,852.53,400.0,452.53,11,11,8,12,18,* Est. Industrial gases; specialty chem; GMP 135; strong YT/Twitter buzz; Subscribe consensus
Kalpataru,01-Jul-25,Real Estate,10,414,414,432.95,0.0,4.577294685990336,4.577294685990336,3.12,1.31,1.29,0.09,0.35,2.26,2.1739130434782608,2.1739130434782608,1.6908212560386473,2.4154589371980677,1.2077294685990339,72.95,0.91,1340.16,312.4,1.19,0.0064,0.001,0.0147,0.0109,0.02,1590.0,1590.0,0.0,9,9,7,10,5,* Est. Kalpataru realty; brand but tepid; Nuvama moderate view; Jul 2025
Sambhv Steel Tubes,02-Jul-25,Steel/Tubes,35,82,110,97.59,34.146341463414636,19.012195121951226,-15.13414634146341,62.32,31.82,7.98,0.43,1.76,28.46,9.75609756097561,9.75609756097561,9.75609756097561,9.75609756097561,13.414634146341463,41.73,0.8,44.53,12.43,1.29,0.0101,0.0077,0.0077,0.0202,0.78,540.0,440.0,100.0,8,8,8,8,11,* Est. Steel tubes; infra capex; positive Jul 2025 market; Subscribe calls
HDB Financial Services,02-Jul-25,NBFC/Lending,35,740,835,840.95,12.837837837837839,13.641891891891897,0.8040540540540579,55.47,9.99,1.41,0.35,1.11,16.69,6.756756756756757,9.45945945945946,10.135135135135135,10.135135135135135,7.4324324324324325,26.77,5.85,28.21,58.36,1.27,0.0101,0.0077,0.0077,0.0202,0.42,12500.0,2500.0,10000.0,50,70,75,75,55,* Est. HDFC Group NBFC; massive issue; anchor-heavy; tepid retail per analyst notes
Indogulf Cropsciences,03-Jul-25,Agrochemicals,35,111,111,110.35,0.0,-0.5855855855855907,-0.5855855855855907,33.26,48.39,14.77,0.39,0.94,25.98,9.00900900900901,10.81081081081081,10.81081081081081,9.00900900900901,7.207207207207207,24.76,0.67,24.16,10.09,1.22,0.0053,0.0174,0.0097,0.0156,-0.02,200.0,160.0,40.0,10,12,12,10,8,* Est. Agrochem; monsoon-dependent; GMP near flat; neutral analyst coverage
Crizac,09-Jul-25,Edu/Overseas Consult,35,245,281,307.63,14.693877551020408,25.56326530612245,10.869387755102041,134.35,76.15,10.24,0.62,2.75,59.82,16.3265306122449,16.3265306122449,16.3265306122449,16.3265306122449,12.244897959183673,17.52,0.0,28.03,25.05,1.37,-0.0003,0.0199,0.032,-0.0053,0.78,860.0,0.0,860.0,40,40,40,40,30,* Est. Study-abroad consultancy; intl edu trend; YT Subscribe calls; GMP 65
Travel Food Services,14-Jul-25,Food/QSR/Travel,35,1100,1125,1074.8,2.272727272727273,-2.290909090909095,-4.563636363636368,7.7,1.58,0.69,0.1,0.25,2.88,7.7272727272727275,7.7272727272727275,4.090909090909091,1.8181818181818181,1.0909090909090908,950.31,0.12,39.88,40.07,1.15,-0.0032,-0.0069,0.0342,0.0024,-0.42,2000.0,0.0,2000.0,85,85,45,20,12,* Est. Airport F&B; expensive valuation; GMP negative; Twitter: skip/avoid
Smartworks Coworking,17-Jul-25,Commercial RE/Flex,35,407,435,445.05,6.87960687960688,9.348894348894351,2.4692874692874716,24.41,22.78,3.53,0.5,1.15,13.45,6.6339066339066335,6.6339066339066335,7.371007371007371,8.108108108108109,6.142506142506143,63.18,2.9,,62.39,1.22,0.0006,0.0009,0.0149,-0.0128,0.38,582.56,445.0,137.56,27,27,30,33,25,* Est. Coworking; hybrid work theme; moderate institutional; YT neutral
Anthem Biosciences,21-Jul-25,Pharma/CDMO,35,570,723,730.35,26.842105263157894,28.131578947368425,1.289473684210531,182.65,42.35,5.64,0.73,3.29,63.86,16.666666666666668,16.666666666666668,17.54385964912281,20.17543859649123,26.31578947368421,71.86,0.05,70.63,36.81,1.38,-0.0146,-0.0122,0.0003,0.0018,0.82,3395.0,0.0,3395.0,95,95,100,115,150,* Est. CDMO pharma; PE-backed; Nuvama/Motilal: Subscribe; strong institutional demand
GNG Electronics,30-Jul-25,Electronics/EMS,35,237,355,333.39,49.78902953586498,40.67088607594936,-9.118143459915615,266.21,226.45,45.31,8.99,26.93,146.9,29.535864978902953,31.645569620253166,42.19409282700422,42.19409282700422,42.19409282700422,,1.92,39.14,8.94,1.33,-0.002,-0.0054,-0.0021,0.0,0.82,460.44,400.0,60.44,70,75,100,100,100,* Est. Circular economy electronics; GMP 98; YT buzz strong; Twitter: Subscribe
IndiQube Spaces,30-Jul-25,Commercial RE/Flex,10,237,216,217.97,-8.860759493670885,-8.029535864978904,0.8312236286919816,14.35,8.24,12.55,0.87,2.54,12.33,16.877637130801688,16.877637130801688,10.548523206751055,7.594936708860759,4.219409282700422,66.66,1.18,,62.32,1.22,-0.002,-0.0054,-0.0021,0.0,-0.42,700.0,650.0,50.0,40,40,25,18,10,* Est. Co-working; negative GMP; WeWork India concern; YT cautious/avoid
Brigade Hotel Ventures,31-Jul-25,Hospitality,10,90,81,85.32,-10.0,-5.200000000000007,4.799999999999993,5.42,1.92,6.4,0.69,1.31,4.48,14.444444444444445,17.77777777777778,13.333333333333334,8.88888888888889,7.777777777777778,44.13,7.4,146.59,35.45,1.22,0.0101,0.0003,0.009899999999999999,-0.0152,-0.38,759.6,759.6,0.0,13,16,12,8,7,* Est. Brigade hotels; cyclical; negative GMP; institutional play; limited retail enthusiasm
Shanti Gold,01-Aug-25,Jewelry/Gold,35,199,228,229.38,14.57286432160804,15.266331658291454,0.6934673366834136,117.33,151.18,29.77,1.16,4.93,80.8,18.09045226130653,18.09045226130653,18.09045226130653,18.09045226130653,18.592964824120603,16.89,1.6,25.69,8.83,1.17,-0.0011,-0.002,0.0007000000000000001,-0.0152,0.42,360.11,360.11,0.0,36,36,36,36,37,* Est. Gold jewellery; gold bull Aug 2025; GMP 32; decent retail; moderate buzz
Laxmi India Finance,05-Aug-25,NBFC,35,158,138,134.11,-12.658227848101266,-15.120253164556953,-2.462025316455687,1.3,1.83,2.19,0.37,0.88,1.85,0.0,0.0,0.0,,0.0,18.8,4.02,22.93,52.3,1.17,-0.0214,-0.0163,-0.034,0.0071,-0.82,254.26,165.16,89.09,0,0,0,0,0,* Est. Small NBFC; negative GMP; high NPA risk; YT/Twitter: strong avoid
Aditya Infotech,05-Aug-25,Technology/Security,10,675,1015,1085.0,50.370370370370374,60.74074074074074,10.370370370370367,133.21,72.0,50.87,2.05,6.88,100.69,33.333333333333336,33.333333333333336,37.333333333333336,41.48148148148148,41.925925925925924,,0.41,22.52,8.27,1.57,-0.0214,-0.0163,-0.034,0.0071,0.88,1300.0,500.0,800.0,225,225,252,280,283,* Est. CCTV/AI surveillance dist; GMP 412; AI-security theme; massive YT/Twitter buzz
M&B Engineering,06-Aug-25,Engineering,10,385,385,405.25,0.0,5.259740259740259,5.259740259740259,36.72,38.24,32.53,0.66,2.94,36.2,10.64935064935065,9.61038961038961,10.909090909090908,16.363636363636363,14.285714285714286,26.81,0.33,28.55,12.78,1.27,-0.0096,-0.0096,-0.0319,-0.0021,0.42,650.0,275.0,375.0,41,37,42,63,55,* Est. Eng components; moderate positive; infra demand; neutral-positive YT
Sri Lotus Developers,06-Aug-25,Real Estate,35,150,178,195.67,18.666666666666668,30.446666666666662,11.779999999999994,163.9,57.71,20.27,3.6,10.34,69.13,20.0,20.0,20.0,20.0,20.0,34.7,0.13,32.17,52.57,1.27,-0.0096,-0.0096,-0.0319,-0.0021,0.78,792.0,792.0,0.0,44,44,42,42,40,* Est. RE developer Hyderabad; GMP 46; positive 2025 RE sentiment; Subscribe calls
NSDL,06-Aug-25,Financial Services,35,800,880,936.0,10.0,17.0,7.0,103.97,34.98,7.73,1.78,5.03,41.0,16.875,16.875,16.0,16.625,16.625,68.04,0.0,46.62,34.71,1.29,-0.0096,-0.0096,-0.0319,-0.0021,0.82,4011.6,0.0,4011.6,135,135,128,133,133,* Est. Market infra/FMI; premium brand; GMP 88; Pranjal Kamra/Rachana: Subscribe
Highway Infrastructure,12-Aug-25,Infrastructure/Toll,35,70,115,120.75,64.28571428571429,72.5,8.214285714285708,420.57,447.29,155.51,27.04,72.92,300.57,42.857142857142854,57.142857142857146,57.142857142857146,57.142857142857146,54.285714285714285,20.2,0.61,22.4,6.32,1.38,-0.0053,0.0017,-0.0269,-0.006,0.82,130.0,97.52,32.48,30,40,40,40,38,* Est. Highway EPC; GMP 52; NHI capex theme; massive expected retail excitement
JSW Cement,14-Aug-25,Cement,35,147,164,146.07,11.564625850340136,-0.6326530612244944,-12.19727891156463,15.8,10.97,1.81,0.29,0.56,7.77,13.605442176870747,6.802721088435374,4.081632653061225,2.7210884353741496,4.081632653061225,64.43,2.55,,13.78,1.27,0.0004,-0.0113,-0.0348,-0.0086,-0.02,3600.0,1600.0,2000.0,20,10,6,4,6,* Est. JSW brand; GMP flat; infra demand moderate; large issue dilutes excitement
All Time Plastics,14-Aug-25,Plastics/Consumer,35,275,311,283.3,13.090909090909092,3.0181818181818225,-10.072727272727269,10.15,13.47,5.14,0.35,1.02,8.34,10.181818181818182,10.181818181818182,10.181818181818182,9.454545454545455,8.363636363636363,60.7,0.84,38.09,18.16,1.22,0.0004,-0.0113,-0.0348,-0.0086,0.02,400.6,280.0,120.6,28,28,28,26,23,* Est. Plastic products; GMP 10; commodity neutral; moderate subscription expected
BlueStone Jewellery,19-Aug-25,Jewelry/D2C,10,517,510,546.0,-1.3539651837524178,5.609284332688588,6.963249516441007,4.28,0.55,1.35,0.39,0.65,2.7,3.8684719535783367,2.3210831721470018,2.3210831721470018,2.3210831721470018,1.9342359767891684,67.8,0.8,,4.13,,-0.0116,-0.008199999999999999,-0.0437,0.0051,0.38,1540.65,820.0,720.65,20,12,12,12,10,* Est. D2C jewellery; loss-making startup; Tata Nexarc; GMP 30; mixed YT views
Regaal Resources,20-Aug-25,Mining/Resources,35,102,141,131.58,38.23529411764706,29.000000000000014,-9.235294117647044,190.97,356.71,57.72,5.94,26.4,159.86,22.54901960784314,22.54901960784314,24.50980392156863,26.470588235294116,31.372549019607842,28.34,2.08,21.98,12.32,1.29,0.0004,-0.005600000000000001,-0.0304,0.0014,0.78,306.0,210.0,96.0,23,23,25,27,32,* Est. Mining/resources; GMP 30; commodity up-cycle; positive YT buzz
Vikram Solar,26-Aug-25,Renewables/Solar,35,332,338,356.4,1.8072289156626506,7.349397590361439,5.542168674698788,142.79,50.9,7.65,1.52,4.57,54.63,17.46987951807229,17.46987951807229,17.16867469879518,13.55421686746988,13.55421686746988,43.52,0.19,85.79,14.37,1.36,0.0159,0.0211,-0.0133,0.006999999999999999,0.42,2079.37,1500.0,579.37,58,58,57,45,45,* Est. Solar modules; GMP 26; renewable energy theme; moderate institutional interest
Gem Aromatics,26-Aug-25,Specialty Chemicals,35,325,333,319.05,2.4615384615384617,-1.8307692307692274,-4.2923076923076895,55.28,45.06,10.31,1.03,2.9,30.27,10.76923076923077,10.76923076923077,8.923076923076923,8.923076923076923,8.923076923076923,67.34,0.78,33.71,17.55,1.22,0.0159,0.0211,-0.0133,0.006999999999999999,-0.02,451.25,175.0,276.25,35,35,29,29,29,* Est. Aroma chem; GMP negative; niche; limited YT coverage; neutral
Shreeji Shipping,26-Aug-25,Logistics/Shipping,35,252,270,255.1,7.142857142857143,1.230158730158728,-5.912698412698415,110.41,72.7,21.94,2.13,6.6,58.1,10.714285714285714,10.714285714285714,11.507936507936508,11.507936507936508,14.285714285714286,21.5,0.75,29.07,33.03,1.22,0.0159,0.0211,-0.0133,0.006999999999999999,0.02,410.71,410.71,0.0,27,27,29,29,36,* Est. Logistics; GMP 4; shipping neutral; small issue
Patel Retail,26-Aug-25,Retail,35,255,300,287.7,17.647058823529413,12.823529411764703,-4.82352941176471,272.43,108.17,42.49,6.39,19.5,95.7,14.117647058823529,14.117647058823529,17.647058823529413,18.823529411764707,18.823529411764707,47.34,1.34,33.69,7.61,1.27,0.0159,0.0211,-0.0133,0.006999999999999999,0.42,242.76,217.21,25.55,36,36,45,48,48,* Est. Retail chain; GMP 34; moderate retail interest
Mangal Electrical,28-Aug-25,Electrical/Engineering,35,561,556,535.35,-0.8912655971479501,-4.57219251336898,-3.6809269162210296,10.54,18.79,4.84,0.54,1.98,9.46,3.5650623885918002,3.5650623885918002,4.45632798573975,5.16934046345811,5.882352941176471,37.12,0.92,32.77,14.9,1.23,0.0147,0.0161,-0.0052,0.004099999999999999,-0.42,400.0,400.0,0.0,20,20,25,29,33,* Est. Electrical equip; negative GMP; tepid buzz; limited YT/social presence
Vikran Engineering,03-Sep-25,Engineering,35,97,99,95.71,2.0618556701030926,-1.3298969072165012,-3.391752577319594,19.45,58.58,10.97,2.38,5.24,23.59,20.61855670103093,18.556701030927837,22.68041237113402,15.463917525773196,11.34020618556701,365.72,0.58,32.15,17.5,1.2,-0.0033,0.0036,-0.01,-0.0187,-0.02,772.0,721.0,51.0,20,18,22,15,11,* Est. Engineering mfg; GMP flat; neutral sentiment Sep 2025
Anlon Healthcare,03-Sep-25,Healthcare/Pharma,10,91,92,91.73,1.098901098901099,0.8021978021978066,-0.29670329670329243,1.07,10.61,47.29,1.69,3.3,7.12,7.6923076923076925,7.6923076923076925,7.6923076923076925,5.4945054945054945,5.4945054945054945,42.33,0.73,23.57,26.88,1.27,-0.0033,0.0036,-0.01,-0.0187,0.02,121.03,121.03,0.0,7,7,7,5,5,* Est. Healthcare services; GMP minimal; moderate interest; valuation fair
Amanta Healthcare,09-Sep-25,Healthcare,35,126,135,141.75,7.142857142857143,12.5,5.357142857142857,35.86,209.4,54.96,4.61,24.9,82.6,19.841269841269842,19.841269841269842,19.841269841269842,21.428571428571427,10.317460317460318,15.92,2.02,46.67,22.11,1.27,-0.0035,-0.009899999999999999,-0.0079,0.0037,0.42,126.0,126.0,0.0,25,25,25,27,13,* Est. Pharma; GMP 16; moderate positive buzz; specialty segments
Urban Company,17-Sep-25,Home Services Tech,10,103,162,166.83,57.28155339805825,61.97087378640778,4.689320388349529,140.2,74.04,39.25,3.13,9.0,103.63,26.21359223300971,33.980582524271846,33.980582524271846,38.83495145631068,41.74757281553398,,0.14,66.03,0.37,,0.0054,0.0118,0.012,0.005500000000000001,0.82,1900.0,472.0,1428.0,27,35,35,40,43,* Est. Services platform; GMP 64; Sequoia/Tiger backed; strong brand YT/Twitter buzz
Shringar House of Mangalsutra,17-Sep-25,Jewelry/Fashion,35,165,189,184.88,14.545454545454545,12.048484848484845,-2.4969696969696997,101.41,82.58,27.18,2.01,8.24,60.27,15.151515151515152,15.151515151515152,18.181818181818183,18.181818181818183,18.181818181818183,31.61,0.61,26.03,6.48,1.17,0.0054,0.0118,0.012,0.005500000000000001,0.42,400.95,400.95,0.0,25,25,30,30,30,* Est. Gold jewellery; GMP 20; gold bull run; decent retail interest
Dev Accelerator,17-Sep-25,Technology,10,61,61,64.05,0.0,4.999999999999996,4.999999999999996,20.3,87.97,164.5,5.33,16.08,63.97,16.39344262295082,16.39344262295082,18.0327868852459,18.0327868852459,13.114754098360656,60.95,2.39,321.05,50.64,1.27,0.0054,0.0118,0.012,0.005500000000000001,0.42,143.35,143.35,0.0,10,10,11,11,8,* Est. Digital services; GMP 3; moderate buzz; startup ecosystem
Euro Pratik Sales,23-Sep-25,Distribution/Trade,35,247,273,248.2,10.526315789473685,0.4858299595141654,-10.04048582995952,1.05,1.92,1.23,0.43,0.7,1.34,4.048582995951417,4.048582995951417,4.048582995951417,4.048582995951417,4.048582995951417,47.83,0.01,32.8,38.74,1.17,0.0038,0.012,0.0238,0.0104,0.02,451.31,0.0,451.31,10,10,10,10,10,* Est. Specialty retail; small issue; limited YT/Twitter coverage
